3,10.0,6.24,-1.0
3,11.0,6.61,-1.0
3,12.0,7.32,-1.0
3,13.0,7.35,-1.0
3,14.0,7.36,-1.0
3,15.0,7.37,-1.0
3,16.0,6.99,-1.0
3,17.0,6.42,-1.0
3,18.0,5.85,-1.0
3,19.0,5.61,-1.0
3,20.0,5.12,-1.0
3,21.0,4.23,-1.0
3,22.0,4.12,-1.0
3,23.0,4.09,-1.0
4,0.0,4.04,-1.0
4,1.0,3.98,-1.0
4,2.0,3.56,-1.0
4,3.0,3.47,-1.0
4,4.0,3.96,-1.0
4,5.0,4.21,-1.0
4,6.0,4.69,-1.0
4,7.0,5.22,-1.0
4,8.0,6.08,-1.0
4,9.0,5.3,-1.0
4,10.0,5.25,-1.0
4,11.0,5.25,-1.0
4,12.0,5.27,-1.0
4,13.0,5.5,-1.0
4,14.0,6.62,-1.0
4,15.0,7.96,-1.0
4,16.0,10.48,-1.0
4,17.0,11.6,-1.0
4,18.0,11.61,-1.0
4,19.0,12.02,-1.0
4,20.0,11.71,-1.0
4,21.0,10.32,-1.0
4,22.0,9.9,-1.0
4,23.0,9.87,-1.0
5,0.0,9.71,-1.0
5,1.0,8.86,-1.0
5,2.0,8.74,-1.0
5,3.0,8.66,-1.0
5,4.0,8.97,-1.0
5,5.0,8.21,-1.0
5,6.0,8.23,-1.0
5,7.0,8.59,-1.0
5,8.0,8.63,-1.0
5,9.0,8.55,-1.0
5,10.0,9.44,-1.0
5,11.0,9.38,-1.0
5,12.0,9.9,-1.0
5,13.0,9.41,-1.0
5,14.0,9.36,-1.0
5,15.0,9.02,-1.0
5,16.0,8.54,-1.0
5,17.0,8.04,-1.0
5,18.0,7.51,-1.0
5,19.0,7.39,-1.0
5,20.0,6.56,-1.0
5,21.0,6.47,-1.0
5,22.0,5.96,-1.0
5,23.0,5.38,-1.0
6,0.0,5.28,-1.0
6,1.0,4.87,-1.0
6,2.0,4.36,-1.0
6,3.0,4.2,-1.0
6,4.0,3.79,-1.0
6,5.0,3.28,-1.0
6,6.0,3.11,-1.0
6,7.0,2.34,-1.0
6,8.0,2.77,-1.0
6,9.0,3.73,-1.0
6,10.0,5.72,-1.0
6,11.0,7.98,-1.0
6,12.0,8.71,-1.0
6,13.0,9.19,-1.0
6,14.0,9.98,-1.0
6,15.0,9.74,-1.0
6,16.0,9.93,-1.0
6,17.0,8.36,-1.0
6,18.0,7.59,-1.0
6,19.0,6.71,-1.0
6,20.0,6.24,-1.0
6,21.0,5.67,-1.0
6,22.0,5.14,-1.0
6,23.0,5.22,-1.0
0,0.0,5.1,-1.0
0,1.0,5.09,-1.0
0,2.0,5.02,-1.0
0,3.0,5.08,-1.0
0,4.0,5.22,-1.0
0,5.0,4.89,-1.0
0,6.0,5.29,-1.0
0,7.0,6.04,-1.0
0,8.0,7.33,-1.0
0,9.0,7.98,-1.0
0,10.0,8.99,-1.0
0,11.0,9.7,-1.0
0,12.0,10.32,-1.0
0,13.0,10.67,-1.0
0,14.0,10.67,-1.0
0,15.0,10.27,-1.0
0,16.0,9.69,-1.0
0,17.0,9.53,-1.0
0,18.0,9.12,-1.0
0,19.0,9.11,-1.0
0,20.0,8.98,-1.0
0,21.0,8.18,-1.0
0,22.0,7.76,-1.0
0,23.0,8.1,-1.0
1,0.0,8.12,-1.0
1,1.0,8.08,-1.0
1,2.0,7.64,-1.0
1,3.0,7.64,-1.0
1,4.0,8.07,-1.0
1,5.0,8.07,-1.0
1,6.0,7.68,-1.0
1,7.0,7.74,-1.0
1,8.0,7.74,-1.0
1,9.0,8.6,-1.0
1,10.0,9.13,-1.0
1,11.0,9.62,-1.0
1,12.0,10.06,-1.0
1,13.0,10.13,-1.0
1,14.0,8.58,-1.0
1,15.0,9.69,-1.0
1,16.0,10.02,-1.0
1,17.0,9.34,-1.0
