timestamp,kWh,weekday,hour,temperature,Holiday
2013-01-08 10:00:00,0.2202231496008708,1,10.0,9.78,-1.0
2013-01-08 11:00:00,0.2137275036103048,1,11.0,10.01,-1.0
2013-01-08 12:00:00,0.20763600056251133,1,12.0,10.86,-1.0
2013-01-08 13:00:00,0.21356087827980402,1,13.0,11.23,-1.0
2013-01-08 14:00:00,0.21474741433496639,1,14.0,10.86,-1.0
2013-01-08 15:00:00,0.22029201455535388,1,15.0,10.79,-1.0
2013-01-08 16:00:00,0.2388564948476052,1,16.0,10.78,-1.0
2013-01-08 17:00:00,0.31837409297895497,1,17.0,10.67,-1.0
2013-01-08 18:00:00,0.3648376270137881,1,18.0,10.32,-1.0
2013-01-08 19:00:00,0.38663915085268497,1,19.0,10.11,-1.0
2013-01-08 20:00:00,0.37399002177068214,1,20.0,10.14,-1.0
2013-01-08 21:00:00,0.3527449202467344,1,21.0,9.67,-1.0
2013-01-08 22:00:00,0.32051759798621193,1,22.0,9.23,-1.0
2013-01-08 23:00:00,0.2664136428701016,1,23.0,9.22,-1.0
2013-01-09 00:00:00,0.22038189428519595,2,0.0,8.84,-1.0
2013-01-09 01:00:00,0.17034597917952443,2,1.0,9.18,-1.0
2013-01-09 02:00:00,0.1377783627700127,2,2.0,9.19,-1.0
2013-01-09 03:00:00,0.12250353964421855,2,3.0,9.21,-1.0
2013-01-09 04:00:00,0.12017992015250543,2,4.0,9.14,-1.0
2013-01-09 05:00:00,0.12034107823561443,2,5.0,9.13,-1.0
2013-01-09 06:00:00,0.14146614628789253,2,6.0,9.1,-1.0
2013-01-09 07:00:00,0.19046251586494825,2,7.0,8.93,-1.0
2013-01-09 08:00:00,0.256328431372549,2,8.0,8.46,-1.0
2013-01-09 09:00:00,0.2413668541477582,2,9.0,8.37,-1.0
2013-01-09 10:00:00,0.23791286963151206,2,10.0,7.99,-1.0
2013-01-09 11:00:00,0.22335657928060193,2,11.0,8.01,-1.0
2013-01-09 12:00:00,0.2174828462515883,2,12.0,8.07,-1.0
2013-01-09 13:00:00,0.21961880542748233,2,13.0,8.16,-1.0
2013-01-09 14:00:00,0.21115468389615102,2,14.0,8.16,-1.0
2013-01-09 15:00:00,0.2081448538936286,2,15.0,7.96,-1.0
2013-01-09 16:00:00,0.22381938651297875,2,16.0,7.21,-1.0
2013-01-09 17:00:00,0.3088088581775277,2,17.0,6.41,-1.0
2013-01-09 18:00:00,0.3611550188418951,2,18.0,5.58,-1.0
2013-01-09 19:00:00,0.39330096197131975,2,19.0,4.98,-1.0
2013-01-09 20:00:00,0.38506473924349877,2,20.0,3.56,-1.0
2013-01-09 21:00:00,0.3649992741150844,2,21.0,2.73,-1.0
2013-01-09 22:00:00,0.3251780722635687,2,22.0,2.57,-1.0
2013-01-09 23:00:00,0.27627754594300236,2,23.0,1.77,-1.0
2013-01-10 00:00:00,0.2285305862951534,3,0.0,1.92,-1.0
2013-01-10 01:00:00,0.17726044313476208,3,1.0,1.56,-1.0
2013-01-10 02:00:00,0.1451525330125295,3,2.0,1.16,-1.0
2013-01-10 03:00:00,0.1330072634102052,3,3.0,1.29,-1.0
2013-01-10 04:00:00,0.12628345749046668,3,4.0,1.39,-1.0
2013-01-10 05:00:00,0.1274290902850917,3,5.0,1.4,-1.0
2013-01-10 06:00:00,0.14509624100236063,3,6.0,1.98,-1.0
2013-01-10 07:00:00,0.1996050481024151,3,7.0,2.02,-1.0
2013-01-10 08:00:00,0.2675503902850917,3,8.0,1.93,-1.0
2013-01-10 09:00:00,0.25334156518975853,3,9.0,2.36,-1.0
2013-01-10 10:00:00,0.2422080985291447,3,10.0,2.47,-1.0
2013-01-10 11:00:00,0.22919091742052683,3,11.0,2.95,-1.0
2013-01-10 12:00:00,0.23427629424159857,3,12.0,2.66,-1.0
2013-01-10 13:00:00,0.24079978199491278,3,13.0,3.1,-1.0
2013-01-10 14:00:00,0.24349182396438954,3,14.0,3.08,-1.0
2013-01-10 15:00:00,0.2398336059218892,3,15.0,3.43,-1.0
2013-01-10 16:00:00,0.26263367201235016,3,16.0,3.01,-1.0
2013-01-10 17:00:00,0.3380074467308391,3,17.0,2.97,-1.0
2013-01-10 18:00:00,0.38504739435264207,3,18.0,3.0,-1.0
2013-01-10 19:00:00,0.415562011966588,3,19.0,2.96,-1.0
2013-01-10 20:00:00,0.4017236246050482,3,20.0,2.57,-1.0
2013-01-10 21:00:00,0.37937933555474845,3,21.0,2.23,-1.0
